problem,method,h,final_error,max_error,iterations,residual
A,Direct,0.25,7.105427357601002e-15,7.105427357601002e-15,0,2.842170943040401e-14
A,SOR omega=1.6,0.25,5.32098809458148e-11,5.32098809458148e-11,56,1.87252879868538e-10
A,Direct,0.125,2.1316282072803006e-14,2.1316282072803006e-14,0,3.552713678800501e-14
A,SOR omega=1.6,0.125,6.425260323794646e-11,6.425260323794646e-11,58,1.914486347232014e-10
A,Direct,0.0625,2.1316282072803006e-14,2.1316282072803006e-14,0,8.526512829121202e-14
A,SOR omega=1.6,0.0625,8.28462631830007e-10,8.28462631830007e-10,137,9.442491233357941e-11
C1,Direct,0.25,0.05302928754551495,0.05302928754551495,0,8.881784197001252e-16
C1,SOR omega=1.6,0.25,0.053029287535329095,0.053029287535329095,47,1.5910328610146962e-10
C1,Direct,0.125,0.012950746721879014,0.012950746721879014,0,6.38378239159465e-16
C1,SOR omega=1.6,0.125,0.012950746752175002,0.012950746752175002,48,8.87593679110843e-11
C1,Direct,0.0625,0.0032189644400797413,0.0032189644400797413,0,1.5265566588595902e-15
C1,SOR omega=1.6,0.0625,0.003218963844721756,0.003218963844721756,114,8.457366057479376e-11
