problem,case,method,h,k,lambda,final_error,max_error
B,B_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.004294140028097471,0.004294140028097471
B,B_stable_h0.1,Backward Difference,0.1,0.004,0.3999999999999999,0.010111558964750134,0.010111558964750134
B,B_stable_h0.1,Crank-Nicolson,0.1,0.004,0.3999999999999999,0.0029807268899598727,0.0029807268899598727
B,B_refined_h0.05,Forward Difference,0.05,0.001,0.3999999999999999,0.0010625117830108666,0.0010625117830108666
B,B_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.002560512426379724,0.002560512426379724
B,B_refined_h0.05,Crank-Nicolson,0.05,0.001,0.3999999999999999,0.000753528157256933,0.000753528157256933
B,B_unstable_h0.1,Forward Difference,0.1,0.01,0.9999999999999998,0.01575604401180869,0.01575604401180869
B,B_unstable_h0.1,Backward Difference,0.1,0.01,0.9999999999999998,0.020320352025494426,0.020320352025494426
B,B_unstable_h0.1,Crank-Nicolson,0.1,0.01,0.9999999999999998,0.002733735065743703,0.002733735065743703
C2,C2_stable_h0.1,Forward Difference,0.1,0.004,0.3999999999999999,0.003284789708199065,0.017046800494472714
C2,C2_stable_h0.1,Backward Difference,0.1,0.004,0.3999999999999999,0.008842882031649825,0.036655977683422936
C2,C2_stable_h0.1,Crank-Nicolson,0.1,0.004,0.3999999999999999,0.002354815400202784,0.010840162193084424
C2,C2_refined_h0.05,Forward Difference,0.05,0.001,0.3999999999999999,0.000874035534934172,0.004294140028097471
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.0021808022229389025,0.010114391625846597
C2,C2_refined_h0.05,Crank-Nicolson,0.05,0.001,0.3999999999999999,0.0006247325815017107,0.0029807268899610384
